Nama File,Status Encoding,Codec Video,Codec Audio,Resolution,Frame Rate,Pixel Format,Profile,Audio Sample Rate,File Size,Duration,Faststart,Valid Meta & TikTok (Ya/Tidak),Catatan Error bila ada
Kucing_HD_043.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,5.60 MB,10.01s,Ya,Ya,None
Kucing_HD_044.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,67.25 MB,51.76s,Ya,Ya,None
Kucing_HD_045.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,2.62 MB,5.64s,Ya,Ya,None
Kucing_HD_046.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,6.29 MB,30.21s,Ya,Ya,None
Kucing_HD_047.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,10.60 MB,10.94s,Ya,Ya,None
Kucing_HD_048.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,4.97 MB,26.73s,Ya,Ya,None
Kucing_HD_049.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,6.61 MB,20.09s,Ya,Ya,None
Kucing_HD_050.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,5.84 MB,15.12s,Ya,Ya,None
Kucing_HD_051.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,8.23 MB,19.95s,Ya,Ya,None
Kucing_HD_052.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,9.98 MB,17.16s,Ya,Ya,None
Kucing_HD_053.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,4.55 MB,10.66s,Ya,Ya,None
Kucing_HD_054.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,8.06 MB,15.21s,Ya,Ya,None
Kucing_HD_055.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,6.29 MB,6.67s,Ya,Ya,None
Kucing_HD_056.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,3.95 MB,9.22s,Ya,Ya,None
Kucing_HD_057.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,19.37 MB,27.01s,Ya,Ya,None
Kucing_HD_058.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,1.36 MB,15.21s,Ya,Ya,None
Kucing_HD_059.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,12.83 MB,11.08s,Ya,Ya,None
Kucing_HD_060.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,2.54 MB,7.97s,Ya,Ya,None
Kucing_HD_061.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,10.04 MB,19.30s,Ya,Ya,None
Kucing_HD_062.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,3.51 MB,10.05s,Ya,Ya,None
Kucing_HD_063.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,16.40 MB,27.80s,Ya,Ya,None
Kucing_HD_064.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,7.05 MB,13.07s,Ya,Ya,None
